"par_1","par_2","par_3","par_4","par_5","par_6","par_7","par_8","par_9","par_10","par_11","par_12","par_13","par_14","par_15","par_16","par_17","par_18","par_19","par_20","par_21","par_22","par_23","par_24","par_25","par_26","par_27","par_28","par_mean","para_cont","para_exp","para_nl","con_1","con_2","con_3","con_4","con_5","con_mean","cred_1","cred_2","cred_3","cred_4","cred_5","cred_6","cred_mean","creds_cont","rel_spi","rel_cont","rel_group","rel_group_text","age","gender","education","urban","ses","mis","weight"
4,1,1,2,4,2,4,1,2,4,2,3,4,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1.92857142857143,19,1,35,1,4,1,2,2,2,1,1,1,1,1,2,1.16666666666667,22,"not-religious-not-spiritual",31,1,"",54,"Man",6,"other",7,FALSE,0.767060050859134
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07142857142857,0,1,19,2,4,2,1,1,2,1,3,1,1,1,3,1.66666666666667,62,"not-religious-not-spiritual",0,NA,"",80,"Man",3,"big cities",7,FALSE,0.185567207418446
3,3,3,2,3,3,3,3,2,3,3,2,2,3,3,2,2,3,3,4,1,2,3,2,2,3,2,3,2.60714285714286,51,3,50,4,3,3,3,4,3.4,1,1,1,1,1,2,1.16666666666667,20,"religious-spiritual",40,3,"",51,"Vrouw",5,"other",7,FALSE,1.00465666281409
1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07142857142857,0,1,30,2,3,2,1,2,2,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",61,"Man",8,"other",7,FALSE,0.256555983903671
1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.17857142857143,0,1,0,4,4,4,2,4,3.6,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",49,"Vrouw",3,"other",4,FALSE,2.93545212178696
2,2,2,3,5,2,4,2,2,4,4,2,5,1,1,1,2,2,3,3,4,1,1,5,5,2,5,4,2.82142857142857,71,3,83,5,5,2,4,2,3.6,1,1,1,2,2,2,1.5,75,"religious-spiritual",65,1,"",45,"Man",5,"other",7,FALSE,0.711851889401942
2,2,2,2,3,2,2,2,2,2,2,1,3,2,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1.71428571428571,60,3,30,2,2,1,1,1,1.4,1,2,1,1,1,2,1.33333333333333,50,"not-religious-spiritual",0,NA,"",80,"Vrouw",7,"other",8,FALSE,0.495227791196652
5,5,5,3,5,4,5,5,3,5,2,2,5,4,4,2,4,4,2,2,1,1,5,2,4,4,3,5,3.60714285714286,100,4,70,4,2,2,2,1,2.2,1,1,1,1,1,1,1,40,"religious-spiritual",50,1,"",54,"Vrouw",6,"other",7,FALSE,0.531163965375292
3,1,1,1,3,1,3,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.42857142857143,1,1,40,4,4,1,2,1,2.4,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",63,"Vrouw",8,"big cities",8,FALSE,0.280540950690988
3,3,1,4,3,1,3,3,2,2,3,2,2,2,2,2,2,2,3,3,2,1,3,1,2,1,2,2,2.21428571428571,48,3,53,4,4,3,2,3,3.2,1,1,1,2,1,1,1.16666666666667,13,"not-religious-not-spiritual",0,NA,"",31,"Vrouw",6,"other",7,FALSE,5.09856878438565
1,1,3,1,1,3,2,1,1,1,3,2,2,1,1,1,3,1,3,3,1,1,2,2,2,1,1,1,1.64285714285714,0,1,30,4,4,3,3,2,3.2,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",76,"Man",3,"big cities",8,FALSE,0.366746294134904
2,3,2,2,3,2,1,2,2,2,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2.03571428571429,47,1,39,2,3,2,2,2,2.2,1,1,1,1,1,1,1,4,"not-religious-not-spiritual",0,NA,"",68,"Vrouw",4,"other",7,FALSE,2.73421800589163
